GeneID,padj_dat_ev,padj_dat_rna,padj_dat_ox,padj_dat_rna_lp,padj_dat_ox_lp,padj_dat_rna_op,padj_dat_ox_op
Phvul.001G048900.1,NA,NA,6.78020736223778e-6,NA,NA,0.0137361266927181,NA
Phvul.001G049000.1,NA,NA,1.55898478365093e-20,NA,1.02502948259397e-6,NA,NA
Phvul.001G049300.1,NA,NA,4.74873297443086e-25,NA,1.24228358419545e-5,NA,NA
Phvul.001G050000.1,NA,NA,9.91539745485847e-6,NA,NA,NA,NA
Phvul.001G050300.1,NA,0.00709400763689893,NA,NA,0.0141507239627454,NA,0.0160303234129993
Phvul.001G050700.1,NA,NA,NA,NA,NA,NA,0.00106528625851185
Phvul.001G051000.1,NA,NA,NA,NA,1.99601620742126e-7,NA,NA
Phvul.001G052200.1,NA,0.0259598105155927,NA,NA,NA,0.00448203876003924,NA
Phvul.001G054500.1,NA,0.0441608320557756,NA,NA,NA,NA,NA
Phvul.001G055000.1,NA,NA,1.46213897272517e-19,NA,NA,NA,0.0368523073903794
Phvul.001G056100.1,5.22983264327476e-7,NA,NA,NA,NA,NA,3.16010565730169e-10
Phvul.001G057300.1,NA,NA,9.27037190026221e-37,NA,1.61060302187121e-18,NA,NA
Phvul.001G058400.1,NA,NA,NA,NA,NA,1.89740833731243e-4,NA
Phvul.001G059100.1,NA,0.0290655256490386,NA,NA,NA,NA,NA
Phvul.001G059600.1,5.84256883012103e-4,5.00697805884286e-4,NA,NA,NA,0.00538047737522068,NA
Phvul.001G059700.2,1.38170217149195e-18,NA,NA,NA,NA,NA,NA
Phvul.001G064000.1,2.67451045714297e-68,5.14628961269139e-7,NA,6.31762652100295e-4,NA,NA,4.72374823293865e-104
Phvul.001G065300.1,7.22226906783327e-4,3.45847459805525e-6,NA,NA,NA,NA,0.00512991244192167
Phvul.001G066000.1,NA,NA,0.00173267091756204,NA,NA,NA,NA
Phvul.001G066700.1,3.06913432519205e-4,NA,NA,NA,NA,NA,NA
Phvul.001G066800.1,0.00131005304934173,NA,NA,NA,NA,NA,NA
