GeneID,log2FC,padj,tabla_origen
Phvul.011G050200.1,2.57191874958793,1.41308051805066e-26,ev
Phvul.001G090900.1,2.56106299955305,2.82618936136618e-5,ev
Phvul.002G304200.1,2.54723766905153,3.90885537052802e-23,ev
Phvul.003G164900.1,2.54057954916851,7.22027015303404e-11,ev
Phvul.006G168190.1,2.5362913129152,1.18702769877988e-5,ev
Phvul.005G054100.1,2.52872702675683,8.02731726442684e-10,ev
Phvul.008G228000.1,2.49433526969061,0.00526416550549538,ev
Phvul.006G012501.1,2.47227492988882,1.38028357820009e-12,ev
Phvul.011G048700.2,2.44239913747804,6.79837937509904e-41,ev
Phvul.004G129400.1,2.43889250194104,5.55072308866178e-8,ev
Phvul.007G273000.1,2.43258827492577,8.71575287981569e-8,ev
Phvul.002G231400.1,2.42334065951871,0.0107745712784246,ev
Phvul.002G107700.1,2.38913475330253,4.19495967939283e-10,ev
Phvul.002G231600.1,2.37286136209397,2.59172275676007e-5,ev
Phvul.003G278400.1,2.32512959633381,1.80899062973038e-9,ev
Phvul.011G016200.1,2.31755818722999,2.32838953298997e-4,ev
Phvul.010G125300.1,2.31162696499705,5.12908938244572e-5,ev
Phvul.001G210400.1,2.31075320166812,1.8351009455232e-5,ev
Phvul.009G189000.1,2.30154992403499,7.15792071077788e-15,ev
Phvul.005G058000.1,2.28438661049247,3.90559108861961e-6,ev
Phvul.011G016300.1,2.27896348006313,4.16131090944854e-14,ev
Phvul.008G151400.1,2.27431738360962,0.00156638180092116,ev
Phvul.001G065300.1,2.26034495873438,7.22226906783327e-4,ev
Phvul.011G189300.1,2.25166505868773,1.21225535103389e-36,ev
Phvul.003G012600.1,2.2448718384843,1.69553474035996e-5,ev
Phvul.002G062000.1,2.22864023892399,3.41814471062947e-5,ev
Phvul.010G067200.1,2.21232112597139,1.20801109898741e-17,ev
Phvul.004G047900.1,2.20463419568302,1.04563591959788e-31,ev
Phvul.011G136915.1,2.19576621525597,0.0374221514043316,ev
Phvul.009G156300.1,2.19092674966892,2.47870152934991e-6,ev
Phvul.002G112600.1,2.1866432627381,4.84910502067602e-8,ev
Phvul.004G068400.1,2.17585389864812,6.32191691966011e-47,ev
Phvul.005G061900.1,2.16858113534837,0.00191003087641047,ev
Phvul.002G254600.1,2.16084978961766,1.19082726120185e-32,ev
Phvul.009G075100.1,2.15051262571362,2.04004094529753e-6,ev
Phvul.009G225800.1,2.14589177042234,5.98951032448482e-6,ev
Phvul.001G258200.2,2.14481972394426,2.49608687998083e-4,ev
Phvul.001G039700.1,2.14427623563285,2.25200909366944e-22,ev
Phvul.003G269000.1,2.13190655244479,0.013797605974589299,ev
Phvul.008G167875.1,2.13043033364792,0.00146815132698633,ev
Phvul.009G058900.1,2.12439943564797,1.21033783507645e-42,ev
Phvul.002G112800.1,2.10988648804218,1.14096813992116e-18,ev
Phvul.006G207700.1,2.10414884540364,3.38268119341237e-7,ev
Phvul.008G043400.1,2.09373426844781,1.55522777393917e-4,ev
Phvul.011G050000.1,2.08181752796583,6.32370231983697e-14,ev
Phvul.001G039800.1,2.07631280860775,2.14772171960032e-8,ev
Phvul.006G190400.1,2.0728342237333,1.889555678818e-13,ev
Phvul.002G273100.1,2.06705557897538,1.15576796663873e-5,ev
Phvul.002G025900.1,2.06056380919204,8.93686273736891e-11,ev
Phvul.009G137900.1,2.05693201133842,9.77557518612187e-8,ev
Phvul.001G248400.1,2.04573124151152,4.85602400994216e-14,ev
Phvul.005G054000.1,2.04498007548644,5.04934867484246e-8,ev
Phvul.002G170200.1,2.0424101479253,9.09271002208122e-28,ev
Phvul.003G163400.1,2.03988155572763,9.35389572051452e-9,ev
Phvul.003G154800.1,2.03953609992272,5.63246207865366e-6,ev
Phvul.002G231700.1,2.03906580916586,0.0262962625024036,ev
Phvul.003G238700.1,2.03343087263824,2.29769423288846e-9,ev
Phvul.007G011300.1,2.03288934525414,2.46647949162983e-15,ev
Phvul.011G147800.1,2.03167070430311,2.64476061030191e-8,ev
Phvul.008G098500.1,2.03117638124736,7.45794911370143e-9,ev
Phvul.009G075500.1,2.03066867790934,1.4144818821894e-8,ev
Phvul.006G060700.1,2.02855314850192,3.5373936894939e-5,ev
Phvul.007G050400.1,2.0225536444131,1.18809222162095e-5,ev
Phvul.010G122500.1,2.01276648273262,1.04595571928527e-4,ev
Phvul.006G173900.2,2.00625686859467,1.11154759337354e-41,ev
Phvul.010G078000.1,2.00483976498327,3.72762527172824e-8,ev
Phvul.003G252500.1,1.98737775358829,3.19542951035211e-4,ev
Phvul.001G091000.1,1.98548620199784,5.40441709747429e-12,ev
Phvul.001G029100.1,1.97878250933163,1.58670115102645e-16,ev
Phvul.001G209600.1,1.97607944628714,8.18389319942031e-6,ev
Phvul.004G092100.1,1.973904750728,5.32615507197374e-8,ev
Phvul.011G197800.1,1.95913815133285,0.00441173383263464,ev
Phvul.010G085100.1,1.95298003048805,0.0017553148331941,ev
Phvul.004G174800.1,1.94461780151718,3.88527719944855e-21,ev
Phvul.008G113700.1,1.93901254828541,2.40283759341543e-13,ev
Phvul.011G212050.1,1.93214648406459,4.99189336122093e-13,ev
Phvul.006G210300.1,1.93028708339686,1.61178227837514e-4,ev
Phvul.011G080500.1,1.9155418270743,0.00190839559349614,ev
Phvul.006G176600.1,1.90947912261555,7.99237380854675e-11,ev
Phvul.003G228000.1,1.90381447754354,4.81630935637449e-5,ev
Phvul.004G069000.1,1.90276426514594,2.54684788960337e-7,ev
Phvul.007G127800.1,1.89912889059118,8.76970478322952e-20,ev
Phvul.011G033800.1,1.89739039542355,3.271828619236e-9,ev
Phvul.011G189200.1,1.89277154003013,8.32328580245612e-8,ev
Phvul.006G173200.1,1.89128355567185,1.39859585329088e-4,ev
Phvul.010G099400.3,1.88132823908386,0.0021533291124195,ev
Phvul.001G021400.1,1.88115954265965,5.1930110952719e-4,ev
Phvul.001G064000.1,1.88010002178822,2.67451045714297e-68,ev
Phvul.010G025800.1,1.87922625957773,0.00291074651315707,ev
Phvul.002G231500.1,1.87622707232449,2.00109258496551e-4,ev
Phvul.010G151500.1,1.87476872362636,5.63246207865366e-6,ev
Phvul.007G241800.1,1.87091224788693,2.24174148729842e-9,ev
Phvul.003G217200.1,1.86737504422295,2.83162092763359e-4,ev
Phvul.005G111000.1,1.86316016897129,1.5568794295276e-6,ev
Phvul.002G231800.1,1.85870346813593,0.0322760695864174,ev
Phvul.006G075600.1,1.85468379953356,1.45526607022032e-5,ev
Phvul.001G037900.1,1.8468482027969,2.60904169698619e-27,ev
Phvul.003G128400.1,1.84600782447376,0.00397465885871987,ev
Phvul.001G126600.1,1.84457981925335,1.8816054740054e-18,ev
Phvul.002G332300.1,1.84236012616087,4.84910502067602e-8,ev
Phvul.006G205300.1,1.82839949771506,1.58018351008592e-6,ev
Phvul.009G149500.1,1.82641277812438,6.05473305088464e-15,ev
Phvul.010G162600.1,1.82394524792977,5.15059980216453e-23,ev
Phvul.004G135300.1,1.81985147532215,0.0327864968827003,ev
Phvul.004G174600.1,1.81509128483907,5.88400755149665e-31,ev
Phvul.004G023066.1,1.80891376419705,4.46888698942108e-4,ev
Phvul.009G147700.1,1.80667517640901,9.32302437347166e-6,ev
Phvul.007G200700.1,1.80557243432819,1.13705828549999e-26,ev
Phvul.006G184800.2,1.80556195880931,4.31512821625793e-6,ev
Phvul.009G040500.1,1.79639102694868,2.12435469909973e-10,ev
