GeneID,log2FC_dat_ev,padj_dat_ev,log2FC_dat_rna,padj_dat_rna,log2FC_dat_ox,padj_dat_ox,log2FC_dat_rna_lp,padj_dat_rna_lp,log2FC_dat_ox_lp,padj_dat_ox_lp,log2FC_dat_rna_op,padj_dat_rna_op,log2FC_dat_ox_op,padj_dat_ox_op
Phvul.010G083700.1,2.87275145287616,4.40739681370795e-17,2.10602580240829,0.00550865361661859,3.07120614579858,1.24964710830798e-16,NA,NA,1.52839943420188,2.95285442821296e-6,NA,NA,1.34447799470786,3.03379420647042e-4
Phvul.011G111100.1,2.85240017272498,2.60129041771867e-4,2.06364786719571,0.00271895163586796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phvul.002G160100.1,2.81384593843037,2.39163266326466e-6,3.56342160385176,4.28809747759222e-7,NA,NA,NA,NA,NA,NA,NA,NA,3.62068769404495,6.96468257882556e-22
Phvul.006G067600.1,2.78538152037276,3.99579973168655e-35,1.84969250695967,0.00214628488748493,NA,NA,NA,NA,NA,NA,NA,NA,2.67618795809171,6.83899184125115e-68
Phvul.003G051800.1,2.70591356615425,8.86808209220941e-10,2.39135914259273,9.48555194898468e-5,NA,NA,NA,NA,1.57172538227116,1.24398331747876e-4,NA,NA,3.30653758352667,6.83032679379935e-74
Phvul.004G070500.2,2.70332086257402,3.24595353235397e-5,NA,NA,2.6631157331792,1.05584295406054e-22,NA,NA,NA,NA,NA,NA,NA,NA
Phvul.010G107400.1,2.69696645503098,1.40964020040651e-8,NA,NA,2.72156308745574,6.0498017157437e-12,NA,NA,1.33370887395252,8.31815496163557e-4,NA,NA,1.31930732666772,0.0453622430934988
Phvul.005G172400.1,2.69135884164663,1.43553566454987e-17,2.63624538392323,3.33898377050583e-6,NA,NA,NA,NA,-1.18387837103832,6.07822126717533e-5,NA,NA,1.69030450373142,1.99676192247536e-23
Phvul.006G096200.1,2.66023745519433,4.47814380091372e-4,NA,NA,1.71661175785888,1.29898447058075e-4,NA,NA,NA,NA,NA,NA,NA,NA
Phvul.006G192700.1,2.64934302154666,1.53758772893964e-5,2.74605344090437,1.88998065704555e-6,NA,NA,1.30668191497247,0.015256194727489,NA,NA,NA,NA,3.29760068120274,1.46667262138284e-14
Phvul.005G054200.1,2.62703356940689,2.12435469909973e-10,2.21214299104485,0.0311486661881116,2.80641621499238,3.67816400203795e-62,NA,NA,1.4743965891515,4.7681725814923e-14,NA,NA,1.30606150588353,0.00331145350884409
