GeneID,log2FC,padj,tabla_origen
Phvul.008G023800.1,3.47825955480456,3.1269792805859e-13,ox
Phvul.010G155300.1,3.43910192017791,3.81619025242126e-16,ox
Phvul.004G009936.1,3.43467691690112,6.80669643418924e-12,ox
Phvul.010G007700.1,3.39000553489737,1.260593144327e-19,ox
Phvul.004G009800.1,3.3276491763426,7.44747647928092e-16,ox
Phvul.007G113700.1,3.29649601361249,5.24296493828281e-19,ox
Phvul.001G133601.1,3.28874164302087,6.63292287863356e-70,ox
Phvul.003G122400.1,3.24511701985977,0,ox
Phvul.003G286300.1,3.21840728893636,3.97410819704372e-14,ox
Phvul.010G028700.1,3.19816855045785,1.24995232372526e-32,ox
Phvul.004G050550.1,3.15652986716116,2.51366638757333e-30,ox
Phvul.001G210400.1,3.15527819348786,1.58824483140419e-24,ox
Phvul.006G196900.1,3.15002219802322,4.09630113800501e-91,ox
Phvul.005G075400.1,3.14414647760175,2.06384941749414e-82,ox
Phvul.003G140800.1,3.11576846650338,8.8239842018053e-28,ox
Phvul.L007143.1,3.08319635312862,7.98296325376476e-7,ox
Phvul.009G046500.1,3.08038078417021,6.38776940285144e-13,ox
Phvul.010G140900.1,3.07993931520155,1.55106446085903e-196,ox
Phvul.010G083700.1,3.07120614579858,1.24964710830798e-16,ox
Phvul.007G249100.1,3.07052508347968,9.05542912378456e-64,ox
Phvul.004G005600.1,3.05551937568473,8.0858389195835e-25,ox
Phvul.008G129700.1,3.0338226680318,2.75973114713316e-21,ox
Phvul.011G149700.1,2.9859617828035,1.92102204849954e-14,ox
Phvul.002G246000.1,2.952381072558,2.92116875193171e-12,ox
Phvul.010G141050.1,2.94714229133213,6.60093840920969e-189,ox
Phvul.010G085600.1,2.93844710840476,7.47762812691654e-6,ox
Phvul.006G176500.1,2.91364657863107,1.97741840695288e-18,ox
Phvul.004G009041.1,2.9059461411167,2.52454408950449e-15,ox
Phvul.001G258200.2,2.89233900144842,3.42956592162371e-5,ox
Phvul.004G002800.1,2.88919622527951,1.85683558326043e-38,ox
Phvul.003G095000.1,2.87236737789072,8.83396225919944e-22,ox
Phvul.002G033300.1,2.87220192877598,1.6890748604456e-76,ox
Phvul.002G269500.1,2.86393820859657,7.31738337049798e-62,ox
Phvul.004G066125.1,2.81122193318801,1.42720091998957e-6,ox
Phvul.005G054200.1,2.80641621499238,3.67816400203795e-62,ox
Phvul.002G280400.1,2.78866867383766,3.70796421137185e-6,ox
Phvul.002G127100.1,2.78437987752729,5.75218388655904e-34,ox
Phvul.004G154900.1,2.7805856528883,1.26381935925923e-29,ox
Phvul.001G023000.1,2.77402343892471,4.72650106898366e-36,ox
Phvul.002G093000.1,2.74966326725925,3.89501967100674e-7,ox
Phvul.005G075300.1,2.73077324981333,1.33462544226224e-6,ox
Phvul.010G107400.1,2.72156308745574,6.0498017157437e-12,ox
Phvul.008G001500.1,2.70954159429049,1.16212530424478e-35,ox
Phvul.004G008250.1,2.70785068862275,7.27227903341659e-6,ox
Phvul.010G027300.1,2.703664839423,1.08423050335857e-100,ox
Phvul.010G019201.1,2.67494648376718,6.31996020904253e-15,ox
Phvul.004G070500.2,2.6631157331792,1.05584295406054e-22,ox
Phvul.004G009136.1,2.62754110307812,5.06664032755419e-9,ox
Phvul.008G140800.1,2.62519044488224,1.50144023662224e-134,ox
Phvul.004G129400.1,2.62456777747233,9.92601006667237e-9,ox
Phvul.005G054100.1,2.62022483972614,3.72126044280901e-89,ox
Phvul.005G133650.1,2.61792740815998,3.08147964576215e-7,ox
Phvul.008G142713.1,2.61125218145195,1.49162214205476e-11,ox
Phvul.004G009101.1,2.60924504563113,2.97726934906163e-5,ox
Phvul.001G185700.1,2.59956883703378,8.83549493881345e-6,ox
Phvul.004G009521.1,2.59648027312971,3.40395359776297e-12,ox
Phvul.011G194800.1,2.5906730811917,1.98302562253429e-17,ox
Phvul.010G001600.2,2.56623148831635,3.48911570344958e-17,ox
Phvul.008G228100.1,2.55864861306751,1.23344995896221e-7,ox
Phvul.004G016532.1,2.55510745912016,8.31169980603837e-16,ox
Phvul.011G178800.1,2.54451455488203,1.2508131441279e-48,ox
Phvul.002G165800.1,2.54226331757124,2.50842808009534e-5,ox
Phvul.001G055000.1,2.53939888569065,1.46213897272517e-19,ox
