GeneID,log2FC_dat_ev,log2FC_dat_rna,log2FC_dat_ox,log2FC_dat_rna_lp,log2FC_dat_ox_lp,log2FC_dat_rna_op,log2FC_dat_ox_op
Phvul.001G118600.1,NA,NA,-1.95238309521819,NA,-1.97894365335844,NA,NA
Phvul.001G118900.1,NA,NA,NA,-1.04185937007266,-1.20647551915879,NA,NA
Phvul.001G119600.1,NA,NA,1.05847393102983,NA,1.2504807160632,NA,NA
Phvul.001G120600.1,NA,NA,-1.14537753858479,NA,NA,NA,NA
Phvul.001G122700.1,NA,NA,1.4133041686786,NA,NA,NA,NA
Phvul.001G123000.2,NA,1.02466340277992,NA,NA,NA,NA,NA
Phvul.001G124700.1,NA,2.26823940115608,3.48472951879404,NA,2.01615071023001,NA,NA
Phvul.001G124800.1,1.62784905102896,2.12805825726247,3.48524022674966,NA,2.1453995414039,NA,NA
Phvul.001G126600.1,1.84457981925335,1.12152625474453,1.1756053660266,NA,NA,NA,1.08611819471507
Phvul.001G127200.1,-1.11946180847162,NA,-1.07426793419497,NA,NA,NA,NA
Phvul.001G127300.1,-1.20201804769624,NA,NA,NA,NA,-1.1649964194771,-1.05431610335542
Phvul.001G127400.1,-1.00740673780424,NA,NA,NA,NA,NA,NA
Phvul.001G127700.1,NA,NA,-1.08518496361448,NA,-1.41521091353199,NA,NA
Phvul.001G128500.1,-1.76801182776814,NA,-1.93540566079797,NA,NA,NA,NA
Phvul.001G128550.1,-1.78394576532457,NA,-1.58020193798287,NA,NA,NA,NA
Phvul.001G129300.1,NA,NA,1.20369403399051,NA,1.2656628580739,NA,NA
Phvul.001G130200.1,NA,NA,NA,NA,NA,-1.18520085164982,NA
Phvul.001G131000.1,NA,NA,1.02692961246046,NA,NA,NA,NA
Phvul.001G132000.1,NA,NA,NA,NA,-1.02953627031447,NA,NA
Phvul.001G133601.1,NA,NA,3.28874164302087,NA,NA,NA,-1.71452488095244
Phvul.001G134400.2,NA,NA,1.30060632046841,NA,1.20057232200255,NA,NA
Phvul.001G135200.1,NA,1.46944893954883,2.48991586384327,NA,1.87907724209609,NA,NA
Phvul.001G135600.1,NA,1.22809906849277,1.07128788322501,NA,1.21828439269114,NA,1.02448453986918
Phvul.001G135700.1,1.23440065398925,NA,NA,NA,NA,NA,NA
Phvul.001G136900.1,NA,NA,1.38975678986622,NA,1.50604477299888,NA,NA
Phvul.001G137300.1,NA,NA,-1.417215721665,NA,-1.25240880568506,NA,NA
Phvul.001G137925.1,NA,NA,-3.90503401391252,NA,-3.80665632349168,NA,NA
Phvul.001G140000.1,1.12994416512256,1.39425284396576,1.23168969314641,NA,1.59582230602434,NA,1.50999074642584
Phvul.001G141000.1,-1.12954404170945,NA,NA,NA,NA,NA,NA
Phvul.001G143300.1,NA,NA,1.79074981035269,NA,1.9698721280327,-1.49418536053265,-1.02090896770038
Phvul.001G143800.1,NA,NA,1.01548916976088,NA,NA,NA,NA
Phvul.001G145600.1,1.44999506022248,1.44014058106627,1.54161624047166,NA,1.38149643932376,NA,1.30402171143806
Phvul.001G147001.1,NA,NA,1.01667811040699,NA,NA,NA,NA
Phvul.001G147100.1,NA,NA,-1.38390963782926,NA,-1.32812756700548,NA,NA
Phvul.001G147300.1,NA,NA,-1.11210624643093,NA,-1.14928884302841,NA,NA
Phvul.001G147700.1,NA,NA,1.35374920863012,NA,1.22289377971135,NA,NA
Phvul.001G148000.1,NA,2.02291198026739,NA,NA,NA,-1.61310581872742,NA
Phvul.001G150600.1,NA,NA,NA,NA,-1.59254329126591,NA,NA
Phvul.001G151900.2,3.07990404392839,NA,NA,NA,NA,2.45763077146631,2.23792733640577
Phvul.001G153000.1,NA,NA,NA,NA,1.7866254074915,NA,NA
Phvul.001G153200.1,1.00997196972326,1.01787587162047,1.74454305336163,NA,1.43366692770801,NA,NA
Phvul.001G153600.2,NA,-1.15374355169139,NA,NA,-1.12315820003622,NA,-1.22320268708125
Phvul.001G154200.1,-1.07776467875305,NA,NA,NA,NA,NA,NA
Phvul.001G154500.1,NA,NA,1.27302652645611,NA,1.47267371096388,NA,NA
Phvul.001G154700.1,1.7734174958975,1.44431026105044,NA,NA,NA,NA,NA
Phvul.001G155400.1,NA,NA,NA,NA,NA,-1.01207395924983,NA
Phvul.001G156500.1,NA,1.12813747526887,NA,NA,NA,NA,NA
Phvul.001G157400.1,NA,NA,NA,1.1945789362588,1.14681314548199,NA,NA
Phvul.001G157900.1,NA,NA,NA,-1.05562061141391,NA,NA,NA
Phvul.001G158300.1,NA,NA,NA,-1.31206023826742,-1.03994476546817,-1.27435149433815,NA
Phvul.001G159300.1,NA,NA,-1.00655730794999,NA,-1.00965113323263,NA,NA
Phvul.001G160100.1,2.91309826662924,NA,1.02460605146229,NA,NA,2.35983643538037,1.15183802335697
Phvul.001G160200.1,1.47728525779986,NA,NA,NA,NA,1.09357360716625,1.45421896718331
Phvul.001G160400.1,NA,NA,NA,-1.37011779638232,NA,NA,NA
Phvul.001G160500.1,1.12291311414525,NA,-1.1203853372384,NA,-1.64558558877554,NA,NA
Phvul.001G160600.1,NA,NA,1.71284623582853,NA,1.14693958869134,NA,NA
Phvul.001G160700.1,NA,1.42786250524352,NA,NA,NA,NA,NA
Phvul.001G161200.1,NA,NA,-1.0164814575191,NA,NA,NA,NA
Phvul.001G161400.1,NA,NA,-1.24900762481384,NA,-1.05781054224137,NA,NA
Phvul.001G164000.1,-1.50663912215363,NA,NA,NA,NA,NA,-1.0361966560722
Phvul.001G165100.1,-1.47147091630712,NA,NA,NA,NA,NA,NA
Phvul.001G165266.1,NA,NA,2.02810755251533,NA,1.58357610592034,NA,NA
Phvul.001G165700.1,1.35817149105514,NA,2.0230976699228,NA,1.33154832313876,NA,NA
Phvul.001G166500.1,NA,NA,NA,NA,1.25344411346934,NA,NA
